ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
426,0,1,0,3,0,1,4,2,3,4,0
427,1,1,1,0,0,0,1,0,3,1,0
428,1,1,1,0,0,0,1,0,3,3,0
429,0,1,1,3,0,1,4,0,3,0,0
430,0,1,0,0,0,1,4,0,3,4,0
431,1,1,1,3,0,1,1,2,3,2,0
432,1,1,0,0,0,1,1,2,3,4,0
433,0,1,1,0,0,1,1,0,3,0,0
434,0,1,1,0,0,1,4,0,3,0,0
435,0,1,0,3,0,1,4,2,3,4,0
436,0,1,0,0,0,1,4,2,3,0,0
437,1,1,0,3,0,0,1,0,3,1,1
438,0,1,1,3,0,0,1,0,3,0,0
439,1,1,0,3,0,1,1,2,3,4,0
440,0,1,0,3,0,0,1,0,3,0,0
441,0,1,1,0,0,0,1,0,3,0,0
442,0,1,0,0,0,0,1,0,3,2,0
443,0,1,1,3,0,0,1,0,3,2,0
444,0,1,0,2,0,0,1,0,3,0,0
445,0,1,0,0,0,0,4,2,3,0,0
446,1,1,1,3,0,1,1,0,3,1,0
447,0,1,0,3,0,1,1,0,3,0,0
448,0,1,1,0,0,0,1,0,3,0,1
449,0,1,0,3,0,1,4,0,3,0,0
450,1,1,0,0,0,1,1,0,3,1,1
451,1,1,1,3,0,0,1,0,3,1,0
452,1,1,1,0,0,1,1,2,3,0,0
453,1,1,1,3,0,1,1,0,3,4,0
454,0,1,0,3,0,1,1,0,3,4,1
455,0,1,1,3,0,1,1,0,3,0,1
456,0,1,1,3,0,0,1,0,3,2,0
457,1,1,1,0,0,0,1,0,3,3,0
458,0,1,1,2,0,0,1,0,3,2,0
459,0,1,0,3,0,1,4,2,3,0,0
460,0,1,1,0,0,0,1,0,3,0,0
461,1,1,0,0,0,1,1,0,3,3,1
462,0,1,0,0,0,1,4,2,3,0,1
463,1,1,0,0,0,1,4,2,3,2,1
464,0,1,1,0,0,1,0,2,3,0,0
465,0,1,0,0,0,1,4,0,3,4,0
466,1,1,0,0,0,1,4,2,3,3,0
467,1,1,1,3,0,1,0,1,3,3,0
468,0,1,1,2,0,0,4,0,3,4,0
469,1,1,1,3,0,1,1,0,3,4,0
470,0,1,1,0,0,1,4,0,3,0,0
471,1,1,0,0,0,1,1,0,3,1,0
472,1,1,1,0,0,1,1,0,3,4,1
473,0,1,1,3,0,1,1,0,3,4,1
474,0,1,1,3,0,0,1,0,3,0,0
